NO,NO KEC,KECAMATAN,JUMLAH SMP NEGERI,JUMLAH RUANG KELAS SMP NEGERI,NO,NO KEC,KECAMATAN,JUMLAH SMP NEGERI,JUMLAH LABORATORIUM IPA,JUMLAH LABORATORIUM BAHASA,JUMLAH LABORATORIUM KOMPUTER
1,32.75.01,Bekasi Timur,7,187,1,32.75.01,Bekasi Timur,7,8,1,9
2,32.75.02,Bekasi Barat,5,93,2,32.75.02,Bekasi Barat,5,2,1,2
3,32.75.03,Bekasi Utara,7,163,3,32.75.03,Bekasi Utara,7,6,3,3
4,32.75.04,Bekasi Selatan,6,148,4,32.75.04,Bekasi Selatan,6,5,3,8
5,32.75.05,Rawalumbu,5,119,5,32.75.05,Rawalumbu,5,4,2,8
6,32.75.06,Medansatria,3,39,6,32.75.06,Medansatria,3,2,1,2
7,32.75.07,Bantargebang,3,66,7,32.75.07,Bantargebang,3,3,2,1
8,32.75.08,Pondokgede,4,101,8,32.75.08,Pondokgede,4,3,2,3
9,32.75.09,Jatiasih,7,166,9,32.75.09,Jatiasih,7,6,1,8
10,32.75.10,Jatisampurna,3,63,10,32.75.10,Jatisampurna,3,2,1,2
11,32.75.11,Mustikajaya,5,74,11,32.75.11,Mustikajaya,5,3,1,7
12,32.75.12,Pondokmelati,1,23,12,32.75.12,Pondokmelati,1,1,0,0
